conductivity,temperature,ph,datetime
0.000,18.111,0.0,10/22/2020 17:13:42.886012
0.000,18.202,0.0,10/22/2020 17:13:43.428561
0.000,18.218,0.0,10/22/2020 17:13:43.973104
0.000,18.200,0.0,10/22/2020 17:13:44.587465
0.000,18.175,0.0,10/22/2020 17:13:45.472098
0.000,18.184,0.0,10/22/2020 17:13:46.489379
0.000,18.174,0.0,10/22/2020 17:13:47.468758
0.000,18.107,0.0,10/22/2020 17:13:48.470098
0.000,18.176,0.0,10/22/2020 17:13:49.477389
0.000,18.247,0.0,10/22/2020 17:13:50.477713
0.000,18.195,0.0,10/22/2020 17:13:51.483024
0.000,18.185,0.0,10/22/2020 17:13:52.479360
0.000,18.301,0.0,10/22/2020 17:13:54.470036
0.000,18.302,0.0,10/22/2020 17:13:55.470362
0.000,18.263,0.0,10/22/2020 17:13:56.469690
0.000,18.225,0.0,10/22/2020 17:13:57.470017
0.000,18.160,0.0,10/22/2020 17:13:58.483306
0.000,18.291,0.0,10/22/2020 17:13:59.475655
0.000,18.189,0.0,10/22/2020 17:14:00.478968
0.000,18.219,0.0,10/22/2020 17:14:01.569054
0.000,18.135,0.0,10/22/2020 17:14:02.470643
0.000,18.163,0.0,10/22/2020 17:14:03.473960
0.000,18.194,0.0,10/22/2020 17:14:04.482265
0.000,18.208,0.0,10/22/2020 17:14:05.481593
0.000,18.144,0.0,10/22/2020 17:14:06.421081
0.000,18.094,0.0,10/22/2020 17:14:07.485236
0.000,18.035,0.0,10/22/2020 17:14:08.475588
0.000,18.072,0.0,10/22/2020 17:14:09.489874
0.000,18.089,0.0,10/22/2020 17:14:10.470252
0.000,18.062,0.0,10/22/2020 17:14:11.470577
0.000,17.957,0.0,10/22/2020 17:14:12.470903
0.000,18.004,0.0,10/22/2020 17:14:13.475217
0.000,17.969,0.0,10/22/2020 17:14:14.584252
0.000,17.869,0.0,10/22/2020 17:14:15.470882
0.000,17.756,0.0,10/22/2020 17:14:16.472203
0.000,17.641,0.0,10/22/2020 17:14:17.471533
0.000,17.803,0.0,10/22/2020 17:14:18.470861
0.000,17.833,0.0,10/22/2020 17:14:19.476171
0.000,17.886,0.0,10/22/2020 17:14:20.571245
0.000,17.953,0.0,10/22/2020 17:14:21.571567
0.000,17.990,0.0,10/22/2020 17:14:22.472158
0.000,18.038,0.0,10/22/2020 17:14:23.479468
0.000,18.043,0.0,10/22/2020 17:14:24.484779
0.000,18.037,0.0,10/22/2020 17:14:25.483111
0.000,18.012,0.0,10/22/2020 17:14:26.478447
0.000,18.050,0.0,10/22/2020 17:14:27.475779
0.000,18.091,0.0,10/22/2020 17:14:28.486079
0.000,18.136,0.0,10/22/2020 17:14:29.481417
0.000,18.167,0.0,10/22/2020 17:14:30.476758
0.000,18.171,0.0,10/22/2020 17:14:31.573822
0.000,18.173,0.0,10/22/2020 17:14:32.506329
0.000,18.146,0.0,10/22/2020 17:14:33.480722
0.000,18.170,0.0,10/22/2020 17:14:34.472074
0.000,18.227,0.0,10/22/2020 17:14:35.472396
0.000,18.242,0.0,10/22/2020 17:14:36.477711
0.000,18.269,0.0,10/22/2020 17:14:37.567797
0.000,18.221,0.0,10/22/2020 17:14:39.478685
0.000,18.254,0.0,10/22/2020 17:14:40.468039
0.000,18.321,0.0,10/22/2020 17:14:41.472353
0.000,18.352,0.0,10/22/2020 17:14:42.475671
0.000,18.367,0.0,10/22/2020 17:14:43.474000
0.000,18.359,0.0,10/22/2020 17:14:44.467344
0.000,18.345,0.0,10/22/2020 17:14:45.466674
0.000,18.357,0.0,10/22/2020 17:14:46.479963
0.000,18.376,0.0,10/22/2020 17:14:47.475304
0.000,18.408,0.0,10/22/2020 17:14:48.566384
0.000,18.436,0.0,10/22/2020 17:14:49.575686
0.000,18.370,0.0,10/22/2020 17:14:50.492234
0.000,18.403,0.0,10/22/2020 17:14:51.409780
0.000,18.360,0.0,10/22/2020 17:14:52.472940
0.000,18.369,0.0,10/22/2020 17:14:53.473263
0.000,18.418,0.0,10/22/2020 17:14:54.477576
0.000,18.371,0.0,10/22/2020 17:14:55.489871
0.000,18.402,0.0,10/22/2020 17:14:56.471246
0.000,18.408,0.0,10/22/2020 17:14:57.472571
0.000,18.425,0.0,10/22/2020 17:14:58.472894
