start,year,month,day,hour,minute,second,zero_ad,current_ad,measured_co2,avarage_irga_temperature,humidity,humidity_sensor_temperature,gas_stream_pressure,igr_detector_temperature,datetime
W M,2020,10,22,13,14,05,55061,51758,428.28,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:41.149656
W M,2020,10,22,13,14,06,55061,51758,428.32,45.30,17.50,28.80,1024,11.6,10/22/2020 17:13:43.889330
W M,2020,10,22,13,14,07,55061,51759,428.11,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:43.998038
W M,2020,10,22,13,14,08,55061,51760,427.94,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:44.101760
W M,2020,10,22,13,14,09,55061,51761,427.97,45.30,17.50,28.80,1024,11.6,10/22/2020 17:13:45.112060
W M,2020,10,22,13,14,10,55061,51760,428.02,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:46.120364
W M,2020,10,22,13,14,11,55061,51760,428.02,45.30,17.50,28.80,1024,11.6,10/22/2020 17:13:47.144627
W M,2020,10,22,13,14,12,55061,51761,427.89,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:48.146947
W M,2020,10,22,13,14,13,55061,51761,427.87,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:49.185169
W M,2020,10,22,13,14,14,55061,51760,428.00,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:50.179510
W M,2020,10,22,13,14,15,55061,51760,428.02,45.30,17.50,28.80,1024,11.6,10/22/2020 17:13:51.163879
W M,2020,10,22,13,14,16,55061,51760,428.03,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:52.193125
W M,2020,10,22,13,14,17,55061,51760,428.03,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:53.279221
W M,2020,10,22,13,14,18,55061,51761,427.90,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:54.189786
W M,2020,10,22,13,14,20,55061,51761,427.88,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:55.200086
W M,2020,10,22,13,14,21,55061,51762,427.74,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:56.231327
W M,2020,10,22,13,14,22,55061,51763,427.50,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:57.222676
W M,2020,10,22,13,14,23,55061,51765,427.28,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:58.546138
W M,2020,10,22,13,14,24,55061,51766,427.11,45.30,17.50,28.80,1024,11.5,10/22/2020 17:13:59.574388
W M,2020,10,22,13,14,25,55061,51765,427.27,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:00.249582
W M,2020,10,22,13,14,26,55061,51763,427.53,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:01.271851
W M,2020,10,22,13,14,27,55061,51762,427.76,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:02.374900
W M,2020,10,22,13,14,28,55061,51761,427.89,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:03.289453
W M,2020,10,22,13,14,29,55061,51761,427.90,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:04.372558
W M,2020,10,22,13,14,30,55061,51761,427.82,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:05.288110
W M,2020,10,22,13,14,31,55061,51762,427.64,45.30,17.50,28.80,1024,11.6,10/22/2020 17:14:06.328330
W M,2020,10,22,13,14,32,55061,51763,427.56,45.20,17.50,28.80,1024,11.5,10/22/2020 17:14:07.319677
W M,2020,10,22,13,14,33,55061,51763,427.55,45.20,17.50,28.80,1024,11.6,10/22/2020 17:14:08.335961
W M,2020,10,22,13,14,34,55061,51763,427.64,45.20,17.50,28.80,1024,11.5,10/22/2020 17:14:09.333294
W M,2020,10,22,13,14,35,55061,51762,427.79,45.20,17.50,28.80,1024,11.5,10/22/2020 17:14:10.351571
W M,2020,10,22,13,14,36,55061,51760,427.99,45.20,17.50,28.80,1024,11.6,10/22/2020 17:14:11.348903
W M,2020,10,22,13,14,37,55061,51760,428.03,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:12.358204
W M,2020,10,22,13,14,38,55061,51760,428.03,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:13.392439
W M,2020,10,22,13,14,39,55061,51761,427.79,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:14.379799
W M,2020,10,22,13,14,40,55061,51762,427.59,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:15.391095
W M,2020,10,22,13,14,41,55061,51763,427.43,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:16.403387
W M,2020,10,22,13,14,42,55061,51764,427.36,45.30,17.50,28.80,1024,11.6,10/22/2020 17:14:17.400721
W M,2020,10,22,13,14,43,55061,51764,427.47,45.30,17.50,28.80,1024,11.6,10/22/2020 17:14:18.408027
W M,2020,10,22,13,14,44,55061,51763,427.51,45.30,17.40,28.80,1024,11.5,10/22/2020 17:14:19.429296
W M,2020,10,22,13,14,45,55061,51763,427.40,45.30,17.40,28.80,1024,11.6,10/22/2020 17:14:20.452561
W M,2020,10,22,13,14,46,55061,51764,427.23,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:21.447898
W M,2020,10,22,13,14,47,55061,51765,427.06,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:22.456203
W M,2020,10,22,13,14,48,55061,51766,426.93,45.30,17.40,28.80,1024,11.6,10/22/2020 17:14:23.468496
W M,2020,10,22,13,14,49,55061,51767,426.87,45.30,17.40,28.80,1024,11.5,10/22/2020 17:14:24.490762
W M,2020,10,22,13,14,50,55061,51767,426.87,45.30,17.50,28.80,1024,11.6,10/22/2020 17:14:25.491089
W M,2020,10,22,13,14,51,55061,51767,426.87,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:26.489418
W M,2020,10,22,13,14,52,55061,51767,426.78,45.30,17.50,28.80,1024,11.6,10/22/2020 17:14:27.495727
W M,2020,10,22,13,14,53,55061,51768,426.72,45.30,17.50,28.80,1024,11.6,10/22/2020 17:14:28.519988
W M,2020,10,22,13,14,54,55061,51768,426.79,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:29.508344
W M,2020,10,22,13,14,55,55061,51766,427.12,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:30.537594
W M,2020,10,22,13,14,56,55061,51764,427.35,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:31.542904
W M,2020,10,22,13,14,57,55061,51763,427.52,45.20,17.50,28.80,1024,11.5,10/22/2020 17:14:32.549215
W M,2020,10,22,13,14,58,55061,51763,427.47,45.20,17.50,28.80,1024,11.5,10/22/2020 17:14:33.566493
W M,2020,10,22,13,14,59,55061,51764,427.47,45.20,17.50,28.80,1024,11.6,10/22/2020 17:14:34.569811
W M,2020,10,22,13,15,00,55061,51762,427.81,45.20,17.50,28.80,1024,11.6,10/22/2020 17:14:35.589087
W M,2020,10,22,13,15,01,55061,51759,428.26,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:36.592402
W M,2020,10,22,13,15,02,55061,51757,428.60,45.30,17.50,28.80,1024,11.6,10/22/2020 17:14:37.599708
W M,2020,10,22,13,15,03,55061,51755,428.98,45.30,17.50,28.80,1024,11.5,10/22/2020 17:14:38.592056
W M,2020,10,22,13,15,04,55061,51753,429.35,45.30,17.40,28.80,1024,11.5,10/22/2020 17:14:39.607340
W M,2020,10,22,13,15,05,55061,51751,429.75,45.30,17.40,28.80,1024,11.5,10/22/2020 17:14:40.627615
W M,2020,10,22,13,15,06,55061,51746,430.69,45.20,17.50,28.80,1024,11.5,10/22/2020 17:14:41.622950
W M,2020,10,22,13,15,07,55061,51737,432.21,45.20,17.50,28.80,1024,11.5,10/22/2020 17:14:42.648209
W M,2020,10,22,13,15,08,55061,51727,433.98,45.20,17.50,28.80,1024,11.6,10/22/2020 17:14:43.662498
