raw_phase_delay,raw_thermistor_voltage,oxygen_ml_l,temperature,datetime
16.664,0.552408,5.644,24.9831,10/22/2020 17:13:43.855418
16.662,0.552449,5.646,24.9808,10/22/2020 17:13:46.630999
16.666,0.552467,5.643,24.9797,10/22/2020 17:13:46.823486
16.664,0.552467,5.644,24.9797,10/22/2020 17:13:47.216434
16.668,0.552465,5.641,24.9798,10/22/2020 17:13:48.516956
16.671,0.552488,5.639,24.9785,10/22/2020 17:13:49.599063
16.666,0.552467,5.643,24.9798,10/22/2020 17:13:50.778907
16.667,0.552478,5.642,24.9791,10/22/2020 17:13:52.061477
16.663,0.552481,5.645,24.9789,10/22/2020 17:13:53.238332
16.666,0.552505,5.643,24.9776,10/22/2020 17:13:54.342382
16.665,0.552482,5.644,24.9789,10/22/2020 17:13:55.535189
16.664,0.552486,5.644,24.9786,10/22/2020 17:13:56.718027
16.669,0.552496,5.641,24.9781,10/22/2020 17:13:57.895877
16.663,0.552524,5.646,24.9765,10/22/2020 17:13:59.178446
16.666,0.552538,5.643,24.9757,10/22/2020 17:14:00.274517
16.669,0.552547,5.642,24.9752,10/22/2020 17:14:01.461343
16.669,0.552564,5.642,24.9743,10/22/2020 17:14:02.656147
16.664,0.552614,5.646,24.9714,10/22/2020 17:14:03.843972
16.667,0.552693,5.644,24.9670,10/22/2020 17:14:05.016835
16.667,0.552753,5.645,24.9635,10/22/2020 17:14:06.216626
16.666,0.552812,5.646,24.9602,10/22/2020 17:14:07.395479
16.670,0.552751,5.643,24.9636,10/22/2020 17:14:08.595268
16.669,0.552722,5.643,24.9653,10/22/2020 17:14:09.760153
16.666,0.552722,5.645,24.9653,10/22/2020 17:14:10.949971
16.667,0.552701,5.645,24.9665,10/22/2020 17:14:12.150761
16.667,0.552692,5.644,24.9670,10/22/2020 17:14:13.332600
16.668,0.552694,5.644,24.9669,10/22/2020 17:14:14.520423
16.668,0.552699,5.644,24.9666,10/22/2020 17:14:15.695280
16.669,0.552691,5.643,24.9670,10/22/2020 17:14:16.887094
16.668,0.552791,5.644,24.9614,10/22/2020 17:14:18.075916
16.666,0.552861,5.647,24.9574,10/22/2020 17:14:19.271718
16.666,0.552873,5.647,24.9567,10/22/2020 17:14:20.461536
16.667,0.552889,5.646,24.9558,10/22/2020 17:14:21.632405
16.670,0.552894,5.644,24.9555,10/22/2020 17:14:22.810256
16.666,0.552908,5.647,24.9547,10/22/2020 17:14:23.997081
16.668,0.552940,5.646,24.9529,10/22/2020 17:14:25.195877
16.666,0.552944,5.648,24.9527,10/22/2020 17:14:26.370734
16.668,0.552938,5.646,24.9530,10/22/2020 17:14:27.565540
16.665,0.552920,5.648,24.9540,10/22/2020 17:14:28.749374
16.668,0.552922,5.646,24.9539,10/22/2020 17:14:29.936204
16.671,0.552912,5.643,24.9545,10/22/2020 17:14:31.130010
16.668,0.552922,5.646,24.9539,10/22/2020 17:14:32.315838
16.667,0.552938,5.647,24.9530,10/22/2020 17:14:33.498676
16.668,0.552945,5.646,24.9527,10/22/2020 17:14:34.693482
16.665,0.552936,5.648,24.9531,10/22/2020 17:14:35.872327
16.670,0.552936,5.645,24.9532,10/22/2020 17:14:37.090073
16.669,0.552942,5.645,24.9528,10/22/2020 17:14:38.250968
16.666,0.552943,5.648,24.9527,10/22/2020 17:14:39.428818
16.672,0.552942,5.643,24.9528,10/22/2020 17:14:40.623624
16.669,0.552945,5.646,24.9527,10/22/2020 17:14:41.799479
