date,time,wavelength1,chl_raw,wavelength2,peryth_raw,wavelength3,pcyan_raw,wavelength4,datetime
10/22/20,08:59:30,695,49,595,50,680,52,521,10/22/2020 17:13:41.704174
10/22/20,08:59:31,695,50,595,49,680,47,521,10/22/2020 17:13:44.508674
10/22/20,08:59:32,695,51,595,49,680,48,521,10/22/2020 17:13:44.641320
10/22/20,08:59:33,695,50,595,50,680,47,521,10/22/2020 17:13:45.188857
10/22/20,08:59:34,695,49,595,52,680,46,522,10/22/2020 17:13:46.289913
10/22/20,08:59:36,695,55,595,51,680,45,521,10/22/2020 17:13:47.421886
10/22/20,08:59:37,695,49,595,49,680,47,521,10/22/2020 17:13:48.546878
10/22/20,08:59:38,695,50,595,48,680,48,521,10/22/2020 17:13:49.686831
10/22/20,08:59:39,695,51,595,50,680,49,521,10/22/2020 17:13:50.823789
10/22/20,08:59:40,695,47,595,50,680,50,521,10/22/2020 17:13:51.937809
10/22/20,08:59:41,695,58,595,49,680,49,521,10/22/2020 17:13:53.076763
10/22/20,08:59:42,695,65,595,50,680,54,521,10/22/2020 17:13:54.193776
10/22/20,08:59:43,695,42,595,52,680,47,521,10/22/2020 17:13:55.340710
10/22/20,08:59:45,695,36,595,51,680,49,521,10/22/2020 17:13:56.459719
10/22/20,08:59:46,695,46,595,52,680,53,521,10/22/2020 17:13:57.582716
10/22/20,08:59:47,695,58,595,48,680,50,521,10/22/2020 17:13:58.722667
10/22/20,08:59:48,695,66,595,49,680,49,521,10/22/2020 17:13:59.926450
10/22/20,08:59:49,695,50,595,52,680,49,521,10/22/2020 17:14:01.063408
10/22/20,08:59:50,695,27,595,51,680,48,521,10/22/2020 17:14:02.108612
10/22/20,08:59:51,695,36,595,50,680,49,521,10/22/2020 17:14:03.221638
10/22/20,08:59:52,695,59,595,50,680,48,521,10/22/2020 17:14:04.356600
10/22/20,08:59:54,695,57,595,51,680,44,521,10/22/2020 17:14:05.482590
10/22/20,08:59:55,695,44,595,50,680,49,521,10/22/2020 17:14:06.609576
10/22/20,08:59:56,695,39,595,45,680,51,521,10/22/2020 17:14:07.750525
10/22/20,08:59:57,695,59,595,50,680,52,521,10/22/2020 17:14:08.866543
10/22/20,08:59:58,695,73,595,50,680,50,521,10/22/2020 17:14:09.998514
10/22/20,08:59:59,695,79,595,50,680,49,521,10/22/2020 17:14:11.120514
10/22/20,09:00:00,695,23,595,49,680,50,521,10/22/2020 17:14:12.259471
10/22/20,09:00:01,695,75,595,51,680,52,521,10/22/2020 17:14:13.385459
10/22/20,09:00:03,695,55,595,49,680,47,521,10/22/2020 17:14:14.512444
10/22/20,09:00:04,695,50,595,50,680,46,521,10/22/2020 17:14:15.632451
10/22/20,09:00:05,695,70,595,50,680,44,521,10/22/2020 17:14:16.771404
10/22/20,09:00:06,695,17,595,54,680,52,521,10/22/2020 17:14:17.893406
10/22/20,09:00:07,695,67,595,50,680,50,521,10/22/2020 17:14:19.006429
10/22/20,09:00:08,695,50,595,55,680,49,521,10/22/2020 17:14:20.234146
