date,time,wavelength1,bb_470_raw,wavelength2,bb_532_raw,wavelength3,bb_650_raw,wavelength4,datetime
10/22/20,10:11:58,470,62,532,54,650,54,519,10/22/2020 17:13:42.390338
10/22/20,10:11:59,470,57,532,54,650,53,519,10/22/2020 17:13:44.520642
10/22/20,10:12:00,470,70,532,54,650,52,519,10/22/2020 17:13:44.647308
10/22/20,10:12:01,470,10,532,46,650,48,519,10/22/2020 17:13:45.245702
10/22/20,10:12:02,470,69,532,54,650,56,519,10/22/2020 17:13:46.373689
10/22/20,10:12:03,470,22,532,54,650,47,519,10/22/2020 17:13:47.488705
10/22/20,10:12:05,470,67,532,50,650,50,519,10/22/2020 17:13:48.631653
10/22/20,10:12:06,470,32,532,51,650,46,519,10/22/2020 17:13:49.752651
10/22/20,10:12:07,470,12,532,51,650,49,519,10/22/2020 17:13:50.902576
10/22/20,10:12:08,470,61,532,51,650,54,519,10/22/2020 17:13:52.008622
10/22/20,10:12:09,470,12,532,50,650,52,519,10/22/2020 17:13:53.135605
10/22/20,10:12:10,470,26,532,50,650,48,519,10/22/2020 17:13:54.261595
10/22/20,10:12:11,470,59,532,51,650,50,519,10/22/2020 17:13:55.404541
10/22/20,10:12:13,470,58,532,55,650,52,519,10/22/2020 17:13:56.529529
10/22/20,10:12:14,470,52,532,51,650,55,519,10/22/2020 17:13:57.652528
10/22/20,10:12:15,470,21,532,49,650,47,519,10/22/2020 17:13:58.795471
10/22/20,10:12:16,470,58,532,50,650,59,519,10/22/2020 17:13:59.906500
10/22/20,10:12:17,470,58,532,53,650,50,519,10/22/2020 17:14:01.147182
10/22/20,10:12:18,470,27,532,50,650,49,519,10/22/2020 17:14:02.183413
10/22/20,10:12:19,470,59,532,50,650,58,519,10/22/2020 17:14:03.398165
10/22/20,10:12:20,470,60,532,53,650,47,519,10/22/2020 17:14:04.420430
10/22/20,10:12:22,470,48,532,54,650,57,519,10/22/2020 17:14:05.564372
10/22/20,10:12:23,470,31,532,53,650,50,519,10/22/2020 17:14:06.675401
