timestamp,status,latitude,latitude_direction,longitude,longitude_direction,speed_over_ground,true_course,date,magnetic_variation,magnetic_variation_direction,mode_indicator,datetime
171340.00,A,42.526286666666664,N,-70.86887666666667,W,0.4,200.4,221020,14.9,W,D,10/22/2020 17:13:40.951186
171341.00,A,42.526285,N,-70.86887833333333,W,0.3,199.8,221020,14.9,W,D,10/22/2020 17:13:43.105425
171342.00,A,42.526285,N,-70.86888,W,0.2,199.6,221020,14.9,W,D,10/22/2020 17:13:43.755686
171343.00,A,42.526285,N,-70.86888,W,0.1,199.4,221020,14.9,W,D,10/22/2020 17:13:44.181547
171344.00,A,42.52628333333333,N,-70.86888166666667,W,0.1,199.6,221020,14.9,W,D,10/22/2020 17:13:44.952487
171345.00,A,42.52628333333333,N,-70.86888166666667,W,0.1,200.1,221020,14.9,W,D,10/22/2020 17:13:45.952811
171346.00,A,42.52628333333333,N,-70.86888333333333,W,0.0,207.0,221020,14.9,W,D,10/22/2020 17:13:46.951142
171347.00,A,42.52628333333333,N,-70.86888333333333,W,0.0,225.8,221020,14.9,W,D,10/22/2020 17:13:47.950471
171348.00,A,42.52628166666667,N,-70.86888333333333,W,0.0,226.6,221020,14.9,W,D,10/22/2020 17:13:48.950796
171349.00,A,42.52628166666667,N,-70.86888333333333,W,0.0,300.0,221020,14.9,W,D,10/22/2020 17:13:49.951119
171350.00,A,42.52628166666667,N,-70.86888333333333,W,0.0,208.7,221020,14.9,W,D,10/22/2020 17:13:50.950450
171351.00,A,42.52628166666667,N,-70.86888333333333,W,0.1,203.1,221020,14.9,W,D,10/22/2020 17:13:51.950777
171352.00,A,42.52628166666667,N,-70.86888333333333,W,0.2,201.2,221020,14.9,W,D,10/22/2020 17:13:52.951098
171353.00,A,42.52628166666667,N,-70.86888333333333,W,0.2,199.6,221020,14.9,W,D,10/22/2020 17:13:53.951424
171354.00,A,42.52628166666667,N,-70.86888333333333,W,0.2,201.0,221020,14.9,W,D,10/22/2020 17:13:54.950751
171355.00,A,42.52628166666667,N,-70.86888166666667,W,0.3,200.1,221020,14.9,W,D,10/22/2020 17:13:55.954069
