wind_angle,reference,wind_speed,wind_speed_units,status,datetime
69.9,R,7.9,N,A,10/22/2020 17:13:42.997713
71.5,R,8.5,N,A,10/22/2020 17:13:43.545247
77.6,R,8.1,N,A,10/22/2020 17:13:44.080816
82.6,R,7.1,N,A,10/22/2020 17:13:44.710134
69.7,R,7.6,N,A,10/22/2020 17:13:45.579809
81.6,R,7.5,N,A,10/22/2020 17:13:46.623020
80.5,R,6.4,N,A,10/22/2020 17:13:47.575473
83.7,R,6.0,N,A,10/22/2020 17:13:48.579788
76.8,R,6.4,N,A,10/22/2020 17:13:49.595074
80.7,R,6.6,N,A,10/22/2020 17:13:50.585429
76.6,R,6.4,N,A,10/22/2020 17:13:51.609687
78.9,R,6.2,N,A,10/22/2020 17:13:52.591062
72.9,R,6.3,N,A,10/22/2020 17:13:53.471706
80.2,R,7.0,N,A,10/22/2020 17:13:54.590718
80.2,R,6.0,N,A,10/22/2020 17:13:55.588051
81.9,R,7.4,N,A,10/22/2020 17:13:56.586378
85.9,R,6.0,N,A,10/22/2020 17:13:57.579724
79.5,R,5.5,N,A,10/22/2020 17:13:58.596007
85.1,R,7.5,N,A,10/22/2020 17:13:59.586357
85.4,R,8.1,N,A,10/22/2020 17:14:00.592667
75.3,R,7.6,N,A,10/22/2020 17:14:01.681756
76.6,R,8.1,N,A,10/22/2020 17:14:02.579353
79.6,R,8.1,N,A,10/22/2020 17:14:03.590649
66.9,R,7.4,N,A,10/22/2020 17:14:04.692702
71.9,R,8.0,N,A,10/22/2020 17:14:05.603267
68.3,R,9.4,N,A,10/22/2020 17:14:06.863900
72.4,R,9.4,N,A,10/22/2020 17:14:07.600925
72.9,R,8.3,N,A,10/22/2020 17:14:08.592293
83.7,R,7.3,N,A,10/22/2020 17:14:09.599581
88.5,R,8.0,N,A,10/22/2020 17:14:10.579961
83.2,R,8.2,N,A,10/22/2020 17:14:11.580284
87.5,R,6.5,N,A,10/22/2020 17:14:12.581607
86.3,R,5.9,N,A,10/22/2020 17:14:13.593921
81.4,R,7.0,N,A,10/22/2020 17:14:14.700942
82.7,R,5.8,N,A,10/22/2020 17:14:15.678328
82.1,R,5.6,N,A,10/22/2020 17:14:16.581910
81.1,R,6.4,N,A,10/22/2020 17:14:17.589218
82.3,R,7.5,N,A,10/22/2020 17:14:18.584555
74.8,R,8.7,N,A,10/22/2020 17:14:19.592859
73.0,R,8.0,N,A,10/22/2020 17:14:20.786668
57.8,R,7.1,N,A,10/22/2020 17:14:21.791980
67.9,R,8.0,N,A,10/22/2020 17:14:22.583862
67.8,R,6.5,N,A,10/22/2020 17:14:23.592167
71.0,R,6.8,N,A,10/22/2020 17:14:24.597477
79.7,R,7.5,N,A,10/22/2020 17:14:25.596805
81.2,R,7.2,N,A,10/22/2020 17:14:26.594140
75.5,R,6.8,N,A,10/22/2020 17:14:27.584490
93.4,R,3.9,N,A,10/22/2020 17:14:28.615732
90.2,R,4.6,N,A,10/22/2020 17:14:29.593118
93.1,R,3.8,N,A,10/22/2020 17:14:30.587462
90.2,R,2.9,N,A,10/22/2020 17:14:31.685524
58.6,R,4.6,N,A,10/22/2020 17:14:32.616036
70.6,R,2.7,N,A,10/22/2020 17:14:33.586440
66.9,R,4.8,N,A,10/22/2020 17:14:34.685502
27.5,R,2.0,N,A,10/22/2020 17:14:35.585097
90.2,R,1.6,N,A,10/22/2020 17:14:36.587416
83.4,R,2.5,N,A,10/22/2020 17:14:37.673512
118.9,R,0.5,N,A,10/22/2020 17:14:38.466391
186.3,R,2.5,N,A,10/22/2020 17:14:39.586397
141.8,R,2.0,N,A,10/22/2020 17:14:40.670498
123.5,R,3.2,N,A,10/22/2020 17:14:41.582061
95.0,R,2.6,N,A,10/22/2020 17:14:42.589373
62.2,R,1.9,N,A,10/22/2020 17:14:43.577724
115.5,R,2.2,N,A,10/22/2020 17:14:44.572065
171.7,R,3.6,N,A,10/22/2020 17:14:45.576380
175.0,R,5.1,N,A,10/22/2020 17:14:46.585681
149.6,R,2.2,N,A,10/22/2020 17:14:47.682747
95.5,R,6.3,N,A,10/22/2020 17:14:48.671105
94.7,R,7.5,N,A,10/22/2020 17:14:49.681402
103.4,R,5.4,N,A,10/22/2020 17:14:50.603939
96.2,R,4.6,N,A,10/22/2020 17:14:51.517493
140.2,R,3.5,N,A,10/22/2020 17:14:52.576661
163.0,R,3.4,N,A,10/22/2020 17:14:53.583971
167.3,R,2.7,N,A,10/22/2020 17:14:54.581299
170.6,R,2.5,N,A,10/22/2020 17:14:55.598580
190.3,R,1.8,N,A,10/22/2020 17:14:56.576963
131.1,R,0.9,N,A,10/22/2020 17:14:57.677024
179.6,R,0.4,N,A,10/22/2020 17:14:58.579608
137.2,R,1.3,N,A,10/22/2020 17:14:59.591902
116.8,R,0.5,N,A,10/22/2020 17:15:00.576270
168.3,R,1.8,N,A,10/22/2020 17:15:01.680319
127.0,R,3.0,N,A,10/22/2020 17:15:02.588890
115.7,R,1.7,N,A,10/22/2020 17:15:03.647058
137.5,R,1.8,N,A,10/22/2020 17:15:04.520722
141.3,R,0.9,N,A,10/22/2020 17:15:05.670648
90.2,R,0.7,N,A,10/22/2020 17:15:06.574232
82.9,R,1.7,N,A,10/22/2020 17:15:07.682268
131.8,R,0.9,N,A,10/22/2020 17:15:08.592833
200.2,R,2.2,N,A,10/22/2020 17:15:09.582187
193.3,R,2.3,N,A,10/22/2020 17:15:10.472807
224.2,R,2.1,N,A,10/22/2020 17:15:11.579847
201.1,R,1.8,N,A,10/22/2020 17:15:12.670929
58.6,R,2.0,N,A,10/22/2020 17:15:13.583488
63.3,R,2.8,N,A,10/22/2020 17:15:14.686541
143.9,R,2.0,N,A,10/22/2020 17:15:15.591119
90.2,R,1.0,N,A,10/22/2020 17:15:16.581473
94.2,R,1.8,N,A,10/22/2020 17:15:17.577809
57.2,R,2.0,N,A,10/22/2020 17:15:18.581127
93.7,R,4.2,N,A,10/22/2020 17:15:19.581450
94.2,R,3.1,N,A,10/22/2020 17:15:20.585765
82.4,R,3.0,N,A,10/22/2020 17:15:21.582102
56.3,R,2.0,N,A,10/22/2020 17:15:22.576441
68.9,R,1.2,N,A,10/22/2020 17:15:23.902894
101.1,R,2.5,N,A,10/22/2020 17:15:24.584074
87.4,R,4.4,N,A,10/22/2020 17:15:25.587390
20.2,R,2.7,N,A,10/22/2020 17:15:26.668501
243.3,R,0.5,N,A,10/22/2020 17:15:27.582056
106.5,R,1.9,N,A,10/22/2020 17:15:28.682115
88.7,R,4.5,N,A,10/22/2020 17:15:29.595673
62.3,R,4.1,N,A,10/22/2020 17:15:30.578046
64.7,R,3.0,N,A,10/22/2020 17:15:31.674114
49.8,R,2.3,N,A,10/22/2020 17:15:32.587672
66.9,R,4.0,N,A,10/22/2020 17:15:33.683741
85.9,R,4.4,N,A,10/22/2020 17:15:34.596301
93.7,R,3.5,N,A,10/22/2020 17:15:35.583660
38.9,R,2.1,N,A,10/22/2020 17:15:36.522151
27.3,R,1.2,N,A,10/22/2020 17:15:37.590294
74.2,R,1.9,N,A,10/22/2020 17:15:38.587628
67.4,R,3.4,N,A,10/22/2020 17:15:39.576982
39.9,R,3.1,N,A,10/22/2020 17:15:40.588278
24.0,R,1.7,N,A,10/22/2020 17:15:41.583616
70.7,R,3.1,N,A,10/22/2020 17:15:43.590251
65.4,R,3.2,N,A,10/22/2020 17:15:44.578609
83.8,R,2.8,N,A,10/22/2020 17:15:45.778399
90.2,R,2.5,N,A,10/22/2020 17:15:46.689963
13.2,R,1.7,N,A,10/22/2020 17:15:47.586566
25.1,R,1.6,N,A,10/22/2020 17:15:48.580906
90.2,R,1.4,N,A,10/22/2020 17:15:49.860483
74.9,R,1.2,N,A,10/22/2020 17:15:50.578562
35.1,R,1.9,N,A,10/22/2020 17:15:51.589861
38.5,R,1.9,N,A,10/22/2020 17:15:52.703882
56.1,R,2.2,N,A,10/22/2020 17:15:53.584526
90.2,R,1.5,N,A,10/22/2020 17:15:54.587844
90.2,R,2.4,N,A,10/22/2020 17:15:55.586175
72.9,R,3.2,N,A,10/22/2020 17:15:56.585502
70.2,R,2.6,N,A,10/22/2020 17:15:57.679575
53.1,R,4.2,N,A,10/22/2020 17:15:58.682894
46.6,R,3.0,N,A,10/22/2020 17:15:59.692195
90.2,R,1.9,N,A,10/22/2020 17:16:00.598771
90.2,R,2.4,N,A,10/22/2020 17:16:01.600093
82.6,R,3.3,N,A,10/22/2020 17:16:02.600419
18.3,R,2.7,N,A,10/22/2020 17:16:03.588775
47.0,R,1.2,N,A,10/22/2020 17:16:04.844418
55.7,R,3.6,N,A,10/22/2020 17:16:05.593416
68.7,R,3.4,N,A,10/22/2020 17:16:06.583768
75.6,R,2.9,N,A,10/22/2020 17:16:07.709757
96.4,R,3.3,N,A,10/22/2020 17:16:08.582422
76.8,R,2.8,N,A,10/22/2020 17:16:09.581749
90.2,R,3.9,N,A,10/22/2020 17:16:10.589054
60.6,R,3.3,N,A,10/22/2020 17:16:11.590379
55.9,R,2.7,N,A,10/22/2020 17:16:12.596688
344.9,R,0.9,N,A,10/22/2020 17:16:13.688771
